02451 + WALTHAM,"$           4,019,616"
02452 + WALTHAM,"$           3,410,065"
Mass. Lottery KENO Sales by ZIP - 2009,Sales
02454 + WALTHAM,"$              632,091"
02458 + NEWTON,"$           1,440,171"
02459 + NEWTON,"$                 67,611"
02460 + NEWTON,"$              341,359"
02461 + NEWTON,"$              495,929"
02464 + NEWTON,"$                 20,828"
02465 + NEWTON,"$                   8,461"
02465 + W NEWTON,"$              192,212"
02466 + AUBURNDALE,"$                 30,019"
02466 + NEWTON,"$                   1,421"
02467 + CHESTNUT HILL,$                            -
02467 + NEWTON,"$                 10,102"
02467 + W ROXBURY,"$                 85,630"
02471 + WATERTOWN,"$                 16,193"
02472 + WATERTOWN,"$           7,352,348"
02474 + ARLINGTON,"$           3,315,984"
02476 + ARLINGTON,"$              129,591"
02478 + BELMONT,"$              488,612"
02481 + WELLESLEY,"$                 43,404"
02482 + WELLESLEY,"$                   8,022"
02492 + NEEDHAM,"$              171,736"
02493 + WESTON,"$                 34,568"
02494 + NEEDHAM,"$                 38,720"
02532 + BOURNE,"$           1,086,166"
02532 + BUZZARDS BAY,"$                 69,889"
02534 + CATAUMET,"$              212,720"
02536 + E FALMOUTH,"$              517,424"
02536 + FALMOUTH,"$              467,142"
02536 + TEATICKET,"$                 49,800"
02537 + SANDWICH,"$                   2,738"
02538 + E WAREHAM,"$           1,015,554"
02538 + WAREHAM,"$              877,561"
02539 + EDGARTOWN,"$              122,312"
02540 + FALMOUTH,"$           2,006,473"
02543 + WOODS HOLE,"$                   6,113"
02553 + MONUMENT BEACH,"$                   2,252"
02554 + NANTUCKET,"$                 28,091"
02556 + FALMOUTH,"$                   8,038"
02556 + N FALMOUTH,$                            -
02557 + OAK BLUFFS,"$              391,303"
02558 + ONSET,"$           1,035,725"
02559 + POCASSET,"$              372,616"
02561 + BOURNE,$                            -
02561 + SAGAMORE,"$                 14,388"
02562 + SAGAMORE BEACH,"$                 17,103"
Mass. Lottery KENO Sales by ZIP - 2009,Sales
02568 + VINEYARD HAVEN,"$              534,639"
02571 + WAREHAM,"$           1,164,665"
02574 + W FALMOUTH,$                        55
02575 + W TISBURY,$                      227
02576 + W WAREHAM,"$              662,388"
02576 + WAREHAM,"$                 66,398"
02584 + NANTUCKET,"$              822,353"
02601 + HYANNIS,"$           3,607,295"
02631 + BREWSTER,"$                 30,252"
02632 + CENTERVILLE,"$              532,363"
02633 + CHATHAM,"$                 22,335"
02635 + COTUIT,"$              405,994"
02638 + DENNIS,$                            -
02639 + DENNISPORT,"$              209,414"
02641 + DENNIS,$                            -
02642 + EASTHAM,"$              125,912"
02644 + FORESTDALE,"$              596,875"
02645 + HARWICH,"$              134,512"
02646 + HARWICH,"$              506,268"
02646 + HARWICHPORT,"$              508,799"
02648 + MARSTONS MILLS,"$                 27,418"
02649 + MASHPEE,"$           2,027,812"
02650 + CHATHAM,"$                 11,124"
02651 + N EASTHAM,"$              568,569"
02652 + N TRURO,$                            -
02653 + ORLEANS,"$                 27,873"
02655 + OSTERVILLE,"$                 54,497"
02657 + PROVINCETOWN,"$              501,252"
02659 + CHATHAM,"$                   1,388"
02660 + DENNIS,$                            -
02660 + S DENNIS,"$           1,749,794"
02662 + ORLEANS,"$                   3,664"
02664 + S YARMOUTH,"$           1,621,616"
02664 + YARMOUTH,"$              837,780"
02667 + WELLFLEET,"$                   2,171"
02668 + BARNSTABLE,$                            -
02668 + W BARNSTABLE,"$                 23,036"
02669 + CHATHAM,$                      643
02669 + W CHATHAM,$                        81
02670 + DENNIS,"$              276,136"
02670 + W DENNIS,"$              180,424"
02671 + HARWICH,"$                   1,941"
02671 + W HARWICH,"$              102,860"
02673 + W YARMOUTH,"$           1,558,565"
02673 + YARMOUTH,"$              130,287"
Mass. Lottery KENO Sales by ZIP - 2009,Sales
02675 + YARMOUTH PORT,$                            -
02702 + ASSONET,"$              181,382"
02703 + ATTLEBORO,"$           4,215,575"
02703 + S ATTLEBORO,"$              775,741"
02714 + DARTMOUTH,"$                   6,471"
02715 + DIGHTON,"$                 10,926"
02717 + E FREETOWN,"$              125,698"
02717 + FREETOWN,"$              112,950"
02718 + E TAUNTON,"$              186,508"
02718 + TAUNTON,"$                 81,550"
02719 + FAIRHAVEN,"$           2,181,350"
02720 + FALL RIVER,"$           2,239,008"
02721 + FALL RIVER,"$           1,908,040"
02722 + FALL RIVER,"$              869,031"
02723 + FALL RIVER,"$              781,260"
02724 + FALL RIVER,"$           1,864,505"
02725 + SOMERSET,"$              965,851"
02726 + SOMERSET,"$           1,928,221"
02738 + MARION,"$              304,504"
02739 + MATTAPOISETT,"$              104,901"
02740 + NEW BEDFORD,"$           4,196,879"
02742 + NEW BEDFORD,$                      516
02743 + ACUSHNET,"$           1,111,468"
02744 + NEW BEDFORD,"$           1,283,679"
02745 + NEW BEDFORD,"$           4,007,590"
02746 + NEW BEDFORD,"$           4,557,626"
02747 + DARTMOUTH,"$              734,376"
02747 + N DARTMOUTH,"$                   7,074"
02748 + DARTMOUTH,"$              234,129"
02748 + S DARTMOUTH,"$                 19,296"
02760 + N ATTLEBORO,"$           2,509,478"
02761 + N ATTLEBORO,"$              515,470"
02762 + PLAINVILLE,"$           1,547,629"
02763 + N ATTLEBORO,"$              204,538"
02764 + DIGHTON,"$                 11,085"
02764 + N DIGHTON,"$                   5,065"
02766 + NORTON,"$           2,648,317"
02767 + RAYNHAM,"$           3,198,769"
02769 + REHOBOTH,"$                 18,216"
02770 + ROCHESTER,"$                 14,269"
02771 + SEEKONK,"$              212,341"
02777 + SWANSEA,"$           1,862,242"
02779 + BERKLEY,"$                 36,498"
02780 + TAUNTON,"$           6,198,414"
