time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-02T17:15:06.530Z,19.4398,-65.182,79,2.22,md,3,325,1.1367,0.14,pr,pr2017122007,2017-05-03T01:48:46.700Z,"124km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.5,9.77,0.04,3,reviewed,pr,pr
2017-05-02T17:15:02.759Z,59.7907,-136.6969,0,1.8,ml,,,,0.64,ak,ak15875831,2017-05-02T17:19:20.298Z,"86km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-02T17:12:22.484Z,61.9203,-151.4258,81.9,2.2,ml,,,,0.44,ak,ak15874917,2017-05-02T17:17:35.267Z,"75km WNW of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-05-02T17:05:04.764Z,59.8934,-136.7097,0,2.3,ml,,,,0.69,ak,ak15874915,2017-05-03T01:07:32.841Z,"92km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T16:40:09.010Z,59.5428,-136.1836,33,2.7,ml,,,,0.85,ak,ak15874794,2017-05-02T16:44:26.346Z,"50km W of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T16:39:36.804Z,59.7737,-136.6932,0,1.9,ml,,,,0.91,ak,ak15874792,2017-05-02T16:44:26.074Z,"85km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T16:26:37.730Z,59.7535,-136.7052,0,2.6,ml,,,,0.75,ak,ak15874788,2017-05-02T16:37:18.765Z,"85km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T16:14:08.573Z,59.7765,-136.6927,0,1.9,ml,,,,0.72,ak,ak15874781,2017-05-02T16:17:51.634Z,"85km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T16:09:03.438Z,59.8999,-136.7003,0,2.7,ml,,,,0.85,ak,ak15874777,2017-05-02T16:16:07.217Z,"92km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T16:05:06.196Z,59.7583,-136.697,0.1,2.1,ml,,,,0.66,ak,ak15874775,2017-05-02T16:10:32.855Z,"84km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T15:59:03.953Z,59.8075,-136.5688,0,2.5,ml,,,,0.83,ak,ak15874772,2017-05-02T16:07:03.302Z,"80km WNW of Skagway, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-02T15:58:03.080Z,34.102,-118.5545,15.48,1.14,ml,17,154,0.04116,0.12,ci,ci37638143,2017-05-03T00:46:00.649Z,"4km ENE of Topanga, California",earthquake,0.4,0.31,0.165,10,reviewed,ci,ci
2017-05-02T15:52:01.970Z,38.838665,-122.7781677,2.6,1.13,md,12,90,0.004167,0.03,nc,nc72795985,2017-05-02T17:29:02.190Z,"5km WNW of Cobb, California",earthquake,0.39,0.54,0.23,4,automatic,nc,nc
2017-05-02T15:49:53.720Z,38.8318329,-122.774498,1.7,1.46,md,11,128,0.003831,0.03,nc,nc72795980,2017-05-02T17:04:03.143Z,"4km WNW of Cobb, California",earthquake,0.34,0.31,0.16,6,automatic,nc,nc
2017-05-02T15:44:28.740Z,38.8321648,-122.7741699,1.83,1.09,md,16,112,0.00373,0.03,nc,nc72795975,2017-05-02T16:38:02.097Z,"4km WNW of Cobb, California",earthquake,0.3,0.37,0.1,4,automatic,nc,nc
2017-05-02T15:40:56.559Z,59.8793,-136.6934,0,1.7,ml,,,,0.64,ak,ak15873864,2017-05-02T15:45:22.025Z,"90km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-02T15:36:10.685Z,64.2507,-149.8547,21.3,1.1,ml,,,,0.4,ak,ak15873857,2017-05-02T15:43:06.385Z,"51km SW of North Nenana, Alaska",earthquake,,1,,,automatic,ak,ak
2017-05-02T15:35:50.931Z,61.8304,-150.543,44.6,1.9,ml,,,,0.57,ak,ak15873855,2017-05-02T15:40:19.535Z,"28km WNW of Willow, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-02T15:31:23.265Z,59.7779,-136.6868,0.4,1.6,ml,,,,0.73,ak,ak15873852,2017-05-02T15:34:45.625Z,"85km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T15:28:34.510Z,59.7628,-136.6751,0,1.8,ml,,,,0.84,ak,ak15873850,2017-05-02T15:33:01.237Z,"83km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-02T15:23:36.130Z,19.2313328,-155.4223328,33.59,2.24,ml,53,132,0.02425,0.18,hv,hv61726426,2017-05-02T15:29:20.000Z,"6km ENE of Pahala, Hawaii",earthquake,0.45,0.65,0.11,3,automatic,hv,hv
2017-05-02T15:11:29.155Z,38.3757,-118.9119,6.9,1.3,ml,15,49.1,0.141,0.1491,nn,nn00587726,2017-05-02T16:25:34.925Z,"30km WSW of Hawthorne, Nevada",earthquake,,2.6,0.26,6,reviewed,nn,nn
2017-05-02T15:10:22.370Z,-11.7183,-13.9218,10,5.9,mww,,57,3.786,0.47,us,us10008n0i,2017-05-02T20:09:26.040Z,"Ascension Island region",earthquake,9.1,1.8,0.073,18,reviewed,us,us
2017-05-02T15:09:09.994Z,59.7736,-136.6966,0,1.6,ml,,,,0.86,ak,ak15873845,2017-05-02T15:12:54.333Z,"85km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-02T15:06:27.208Z,59.7718,-136.6875,0,1.6,ml,,,,0.94,ak,ak15873841,2017-05-02T15:11:09.934Z,"85km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
