code,name,oldprice,price,url
60024-A,Crêped Top,$14.99,$9.99,http://api.hm.com/us/product/60024?article=60024-A
41533-G,Fine-knit Top,$17.99,$9.99,http://api.hm.com/us/product/41533?article=41533-G
48777-B,Polo Shirt,$12.99,$9.99,http://api.hm.com/us/product/48777?article=48777-B
71478-A,Tank Top with Lacing,$12.99,$7.99,http://api.hm.com/us/product/71478?article=71478-A
67573-F,Ruffled Top,$17.99,$9.99,http://api.hm.com/us/product/67573?article=67573-F
55410-C,Mock-turtleneck Top,$17.99,$12.99,http://api.hm.com/us/product/55410?article=55410-C
65850-C,Lace Top,$17.99,$9.99,http://api.hm.com/us/product/65850?article=65850-C
64432-E,Cotton T-shirt,$12.99,$6.99,http://api.hm.com/us/product/64432?article=64432-E
59865-B,Ribbed Sweater,$12.99,$9.99,http://api.hm.com/us/product/59865?article=59865-B
70444-E,Double-layer Camisole Top,$24.99,$12.99,http://api.hm.com/us/product/70444?article=70444-E
62288-A,Camisole Top with Mesh Detail,$17.99,$12.99,http://api.hm.com/us/product/62288?article=62288-A
49630-B,Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/49630?article=49630-B
63850-B,Short Top with Elastic,$14.99,$9.99,http://api.hm.com/us/product/63850?article=63850-B
63206-B,Airy Jersey Top,$17.99,$12.99,http://api.hm.com/us/product/63206?article=63206-B
41533-E,Fine-knit Top,$17.99,$9.99,http://api.hm.com/us/product/41533?article=41533-E
59991-A,Fine-knit Top,$17.99,$9.99,http://api.hm.com/us/product/59991?article=59991-A
64623-C,T-shirt with Motif,$17.99,$12.99,http://api.hm.com/us/product/64623?article=64623-C
56852-A,Ribbed Top,$17.99,$9.99,http://api.hm.com/us/product/56852?article=56852-A
64623-H,T-shirt with Motif,$17.99,$9.99,http://api.hm.com/us/product/64623?article=64623-H
64869-D,Long-sleeved Linen Top,$24.99,$12.99,http://api.hm.com/us/product/64869?article=64869-D
68459-E,Wide-cut Camisole Top,$14.99,$9.99,http://api.hm.com/us/product/68459?article=68459-E
67854-B,Bustier,$14.99,$7.99,http://api.hm.com/us/product/67854?article=67854-B
70285-A,Glittery Bandeau Top,$12.99,$7.99,http://api.hm.com/us/product/70285?article=70285-A
63533-E,Fitted Sweater,$29.99,$9.99,http://api.hm.com/us/product/63533?article=63533-E
58455-C,V-neck Sweater,$14.99,$7.99,http://api.hm.com/us/product/58455?article=58455-C
38235-A,Jersey Top,$9.99,$6.99,http://api.hm.com/us/product/38235?article=38235-A
64869-A,Long-sleeved Linen Top,$24.99,$12.99,http://api.hm.com/us/product/64869?article=64869-A
69128-D,Short Jersey Top,$12.99,$7.99,http://api.hm.com/us/product/69128?article=69128-D
56722-B,V-neck Top,$17.99,$9.99,http://api.hm.com/us/product/56722?article=56722-B
48777-A,Polo Shirt,$12.99,$9.99,http://api.hm.com/us/product/48777?article=48777-A
68421-F,Ribbed Camisole Top,$24.99,$12.99,http://api.hm.com/us/product/68421?article=68421-F
68459-J,Wide-cut Camisole Top,$14.99,$9.99,http://api.hm.com/us/product/68459?article=68459-J
59231-A,Flounced Crop Top,$24.99,$14.99,http://api.hm.com/us/product/59231?article=59231-A
60584-B,Long-sleeved Bodysuit,$14.99,$9.99,http://api.hm.com/us/product/60584?article=60584-B
64432-F,Cotton T-shirt,$12.99,$6.99,http://api.hm.com/us/product/64432?article=64432-F
64972-A,V-neck Satin Camisole Top,$24.99,$14.99,http://api.hm.com/us/product/64972?article=64972-A
71823-A,Wide-cut T-shirt,$14.99,$9.99,http://api.hm.com/us/product/71823?article=71823-A
66753-B,Crushed-velvet Camisole Top,$14.99,$9.99,http://api.hm.com/us/product/66753?article=66753-B
67643-C,Lace Top,$24.99,$14.99,http://api.hm.com/us/product/67643?article=67643-C
64869-B,Long-sleeved Linen Top,$24.99,$12.99,http://api.hm.com/us/product/64869?article=64869-B
65256-B,V-neck Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/65256?article=65256-B
38259-B,Boat-neck Top,$14.99,$7.99,http://api.hm.com/us/product/38259?article=38259-B
58708-B,Pleated Top,$24.99,$12.99,http://api.hm.com/us/product/58708?article=58708-B
39799-A,Jersey Top,$14.99,$7.99,http://api.hm.com/us/product/39799?article=39799-A
60584-D,Long-sleeved Bodysuit,$14.99,$9.99,http://api.hm.com/us/product/60584?article=60584-D
59539-B,Glittery Bustier,$24.99,$12.99,http://api.hm.com/us/product/59539?article=59539-B
60791-A,Bustier,$29.99,$14.99,http://api.hm.com/us/product/60791?article=60791-A
62358-A,Uni Tee,$19.99,$12.99,http://api.hm.com/us/product/62358?article=62358-A
68149-B,Jersey Top with Lace,$19.99,$9.99,http://api.hm.com/us/product/68149?article=68149-B
67189-A,Fine-knit Turtleneck Top,$17.99,$7.99,http://api.hm.com/us/product/67189?article=67189-A
51674-A,Linen-blend Top,$24.99,$12.99,http://api.hm.com/us/product/51674?article=51674-A
67189-B,Fine-knit Turtleneck Top,$17.99,$9.99,http://api.hm.com/us/product/67189?article=67189-B
60829-B,Sleeveless Top with Lace,$24.99,$14.99,http://api.hm.com/us/product/60829?article=60829-B
56300-A,Ribbed Jersey Top,$17.99,$7.99,http://api.hm.com/us/product/56300?article=56300-A
26972-M,Tube Top,$9.95,$4,http://api.hm.com/us/product/26972?article=26972-M
59588-A,Pleated Top,$34.99,$19.99,http://api.hm.com/us/product/59588?article=59588-A
63610-J,Cotton Jersey T-shirt,$12.99,$7.99,http://api.hm.com/us/product/63610?article=63610-J
63545-B,Short Lace Top,$29.99,$14.99,http://api.hm.com/us/product/63545?article=63545-B
58828-A,Lace Camisole Top,$24.99,$12.99,http://api.hm.com/us/product/58828?article=58828-A
49630-G,Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/49630?article=49630-G
65897-A,Short Top,$12.99,$7.99,http://api.hm.com/us/product/65897?article=65897-A
55540-H,V-neck Jersey Top,$9.99,$5.99,http://api.hm.com/us/product/55540?article=55540-H
66738-A,Lace Top,$17.99,$9.99,http://api.hm.com/us/product/66738?article=66738-A
39356-A,Silk-blend Top,$24.99,$12.99,http://api.hm.com/us/product/39356?article=39356-A
49630-E,Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/49630?article=49630-E
69220-B,T-shirt with Printed Design,$12.99,$9.99,http://api.hm.com/us/product/69220?article=69220-B
